ID,Title,Year,Duration,AgeRating,Rating,Votes
1,The Shawshank Redemption,1994,2h 22m,R,9.3,(3.1M)
2,The Godfather,1972,2h 55m,R,9.2,(2.2M)
3,The Dark Knight,2008,2h 32m,PG-13,9.1,(3.1M)
4,The Godfather Part II,1974,3h 22m,R,9,(1.5M)
5,12 Angry Men,1957,1h 36m,Approved,9,(952K)
6,The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9,(2.1M)
7,Schindler's List,1993,3h 15m,R,9,(1.5M)
8,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9,(2.1M)
9,Pulp Fiction,1994,2h 34m,R,8.8,(2.4M)
10,"The Good, the Bad and the Ugly",1966,2h 58m,R,8.8,(870K)
11,Forrest Gump,1994,2h 22m,PG-13,8.8,(2.4M)
12,The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8,(1.9M)
13,Fight Club,1999,2h 19m,R,8.8,(2.5M)
14,Inception,2010,2h 28m,PG-13,8.8,(2.7M)
15,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7,(1.5M)
16,The Matrix,1999,2h 16m,R,8.7,(2.2M)
17,Goodfellas,1990,2h 25m,R,8.7,(1.4M)
18,Interstellar,2014,2h 49m,PG-13,8.7,(2.4M)
19,One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7,(1.1M)
20,Se7en,1995,2h 7m,R,8.6,(2M)
21,It's a Wonderful Life,1946,2h 10m,PG,8.6,(536K)
22,The Silence of the Lambs,1991,1h 58m,R,8.6,(1.7M)
23,Seven Samurai,1954,3h 27m,Not Rated,8.6,(391K)
24,Saving Private Ryan,1998,2h 49m,R,8.6,(1.6M)
25,The Green Mile,1999,3h 9m,R,8.6,(1.5M)
26,City of God,2002,2h 10m,R,8.6,(851K)
27,Life Is Beautiful,1997,1h 56m,PG-13,8.6,(792K)
28,Terminator 2: Judgment Day,1991,2h 17m,R,8.6,(1.3M)
29,Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6,(1.5M)
30,Back to the Future,1985,1h 56m,PG,8.5,(1.4M)
31,Spirited Away,2001,2h 4m,PG,8.6,(934K)
32,The Pianist,2002,2h 30m,R,8.5,(987K)
33,Gladiator,2000,2h 35m,R,8.5,(1.8M)
34,Parasite,2019,2h 12m,R,8.5,(1.1M)
